DATE,VISITOR,VISITOR_PTS,HOME,HOME_PTS
1999-12-01,Houston Rockets,122,Phoenix Suns,128
1999-12-01,Charlotte Hornets,90,Portland Trail Blazers,94
1999-12-01,Indiana Pacers,96,Vancouver Grizzlies,89
1999-12-01,Cleveland Cavaliers,111,Washington Wizards,108
1999-12-02,Sacramento Kings,100,Atlanta Hawks,110
1999-12-02,Dallas Mavericks,101,Chicago Bulls,95
1999-12-02,Seattle SuperSonics,117,Golden State Warriors,108
1999-12-02,Houston Rockets,109,Los Angeles Clippers,96
1999-12-02,New York Knicks,84,Milwaukee Bucks,80
1999-12-02,Orlando Magic,103,Minnesota Timberwolves,93
1999-12-02,San Antonio Spurs,96,New Jersey Nets,94
1999-12-03,Miami Heat,84,Boston Celtics,96
1999-12-03,Philadelphia 76ers,102,Cleveland Cavaliers,100
1999-12-03,Orlando Magic,112,Denver Nuggets,100
1999-12-03,San Antonio Spurs,80,Detroit Pistons,102
1999-12-03,Portland Trail Blazers,80,Los Angeles Lakers,93
1999-12-03,Washington Wizards,93,Toronto Raptors,95
1999-12-03,Indiana Pacers,100,Utah Jazz,75
1999-12-03,Charlotte Hornets,113,Vancouver Grizzlies,94
1999-12-04,Detroit Pistons,110,Atlanta Hawks,112
1999-12-04,Milwaukee Bucks,92,Chicago Bulls,91
1999-12-04,Utah Jazz,94,Golden State Warriors,82
1999-12-04,Phoenix Suns,95,Houston Rockets,105
1999-12-04,Seattle SuperSonics,102,Los Angeles Clippers,89
1999-12-04,Dallas Mavericks,103,Minnesota Timberwolves,84
1999-12-04,New York Knicks,92,New Jersey Nets,82
1999-12-04,Boston Celtics,74,Philadelphia 76ers,77
1999-12-04,Sacramento Kings,114,Washington Wizards,104
1999-12-05,Orlando Magic,100,Los Angeles Lakers,117
1999-12-05,Dallas Mavericks,97,Milwaukee Bucks,103
1999-12-05,Denver Nuggets,80,New York Knicks,78
1999-12-05,Portland Trail Blazers,92,Phoenix Suns,90
1999-12-05,Charlotte Hornets,103,Seattle SuperSonics,81
1999-12-05,San Antonio Spurs,92,Toronto Raptors,98
1999-12-06,Vancouver Grizzlies,99,Houston Rockets,102
1999-12-06,Miami Heat,99,Los Angeles Clippers,91
1999-12-06,Sacramento Kings,95,New Jersey Nets,109
1999-12-06,Denver Nuggets,94,Philadelphia 76ers,77
1999-12-06,Washington Wizards,96,Utah Jazz,102
1999-12-07,Vancouver Grizzlies,104,Dallas Mavericks,95
1999-12-07,San Antonio Spurs,77,Indiana Pacers,83
1999-12-07,Washington Wizards,80,Los Angeles Lakers,91
1999-12-07,Detroit Pistons,116,Milwaukee Bucks,112
1999-12-07,Golden State Warriors,83,New York Knicks,89
1999-12-07,Orlando Magic,107,Phoenix Suns,110
1999-12-07,Miami Heat,86,Portland Trail Blazers,76
1999-12-07,Cleveland Cavaliers,98,Toronto Raptors,101
1999-12-08,Los Angeles Clippers,81,Atlanta Hawks,99
1999-12-08,Denver Nuggets,90,Boston Celtics,115
1999-12-08,Golden State Warriors,106,Charlotte Hornets,113
1999-12-08,Chicago Bulls,93,Cleveland Cavaliers,107
1999-12-08,Milwaukee Bucks,90,New Jersey Nets,107
1999-12-08,Houston Rockets,73,Philadelphia 76ers,83
1999-12-08,Los Angeles Lakers,91,Sacramento Kings,103
1999-12-08,Minnesota Timberwolves,94,Seattle SuperSonics,110
1999-12-08,Dallas Mavericks,79,Utah Jazz,85
1999-12-09,Washington Wizards,85,Phoenix Suns,99
1999-12-09,Minnesota Timberwolves,86,Portland Trail Blazers,90
1999-12-09,Vancouver Grizzlies,91,San Antonio Spurs,99
1999-12-10,Golden State Warriors,107,Atlanta Hawks,99
1999-12-10,Houston Rockets,96,Boston Celtics,100
1999-12-10,Denver Nuggets,99,Charlotte Hornets,106
1999-12-10,New Jersey Nets,69,Chicago Bulls,71
1999-12-10,Los Angeles Clippers,83,Detroit Pistons,107
1999-12-10,Cleveland Cavaliers,88,Indiana Pacers,136
1999-12-10,Philadelphia 76ers,78,New York Knicks,85
1999-12-10,Miami Heat,107,Sacramento Kings,97
1999-12-10,Milwaukee Bucks,107,Toronto Raptors,91
1999-12-10,Seattle SuperSonics,83,Utah Jazz,101
1999-12-11,Atlanta Hawks,116,Cleveland Cavaliers,127
1999-12-11,Phoenix Suns,115,Dallas Mavericks,120
1999-12-11,Los Angeles Clippers,90,Indiana Pacers,108
1999-12-11,Denver Nuggets,101,Milwaukee Bucks,99
1999-12-11,Golden State Warriors,104,Minnesota Timberwolves,76
1999-12-11,Houston Rockets,94,New Jersey Nets,106
1999-12-11,Chicago Bulls,87,Orlando Magic,108
1999-12-11,Charlotte Hornets,106,Philadelphia 76ers,84
1999-12-11,Portland Trail Blazers,101,Sacramento Kings,96
1999-12-11,Washington Wizards,99,San Antonio Spurs,89
1999-12-11,Miami Heat,88,Seattle SuperSonics,92
1999-12-11,Los Angeles Lakers,106,Vancouver Grizzlies,94
1999-12-12,Detroit Pistons,93,Los Angeles Lakers,101
1999-12-12,Boston Celtics,97,New York Knicks,99
1999-12-12,Utah Jazz,103,Toronto Raptors,88
1999-12-13,Vancouver Grizzlies,90,Los Angeles Clippers,102
1999-12-14,Minnesota Timberwolves,94,Atlanta Hawks,105
1999-12-14,Boston Celtics,88,Cleveland Cavaliers,115
1999-12-14,San Antonio Spurs,111,Dallas Mavericks,93
1999-12-14,Miami Heat,97,Golden State Warriors,102
1999-12-14,New York Knicks,101,Houston Rockets,90
1999-12-14,Los Angeles Clippers,68,Los Angeles Lakers,95
1999-12-14,Detroit Pistons,104,Phoenix Suns,114
1999-12-14,Denver Nuggets,84,Seattle SuperSonics,109
1999-12-14,Indiana Pacers,97,Toronto Raptors,105
1999-12-14,Utah Jazz,101,Washington Wizards,80
1999-12-15,Utah Jazz,96,Boston Celtics,86
1999-12-15,Minnesota Timberwolves,98,Charlotte Hornets,103
1999-12-15,Chicago Bulls,91,Indiana Pacers,102
1999-12-15,Cleveland Cavaliers,101,New Jersey Nets,111
1999-12-15,Milwaukee Bucks,116,Orlando Magic,99
1999-12-15,Toronto Raptors,91,Philadelphia 76ers,93
